DOEID,NWEIGHT,MQRESULT,REGIONC,DIVISION,LRGSTATE,CDD65,HDD65,TYPEHUQ,DOLLARKR,DOLLAREL,DOLLARNG,DOLLARFO,DOLLARLP,DOLELSPH,DOLNGSPH,DOLFOSPH,DOLLPSPH,DOLKRSPH,DOLELWTH,DOLNGWTH,DOLFOWTH,DOLLPWTH,DOLKRWTH,DOLELAPL,DOLNGAPL,DOLFOAPL,DOLLPAPL,DOLKRAPL,DOLELCOL,DOLNGCOL,DOLELRFG,DOLELFZZ,DOLELCOK,DOLELDWH,DOLELCDR
3827, 13714,9,3,6,0,1263, 3957,2,   0, 758, 583,   0,   0,   0, 441,   0,   0,   0,   0, 142,   0,   0,  0, 423,  0, 0,  0,0, 219, 0,116,  0, 58,  0, 64
3828, 20846,9,4,9,2,1126, 1058,2,   0, 557, 225,   0,   0,   0,  81,   0,   0,   0,   0, 103,   0,   0,  0, 482, 41, 0,  0,0,   0, 0, 75,  0,  0, 41,  0
3829, 14064,9,2,4,0,1355, 5105,2,   0, 963, 913,   0,   0,   0, 609,   0,   0,   0,   0, 304,   0,   0,  0, 576,  0, 0,  0,0, 220, 0,167,  0, 39, 37,106
3830,  8118,9,4,8,0,5271,  891,3,   0,1011,   0,   0,   0,  84,   0,   0,   0,   0, 269,   0,   0,   0,  0, 233,  0, 0,  0,0, 305, 0,120,  0, 50,  0,  0
3831, 13571,9,1,2,0,1117, 4623,5,   0, 498,  48, 591,   0,   0,   0, 396,   0,   0,   0,   0, 195,   0,  0, 359, 48, 0,  0,0,   0, 0,139,  0,  0,  0,  0
3832, 24791,9,2,3,0,1074, 5384,2,   0,2310, 881,   0,   0,  55, 635,   0,   0,   0,   0, 246,   0,   0,  0,1278,  0, 0,  0,0, 485, 0,492,  0,110,150,185
3833, 16288,9,3,7,0,2465, 1661,2,   0,2271, 495,   0,   0,  40, 240,   0,   0,   0,   0, 145,   0,   0,  0,1631,110, 0,  0,0, 411, 0,189,910,  0, 87,  0
3834, 14103,9,3,7,3,2952, 1366,5,   0, 948,   0,   0,   0,  46,   0,   0,   0,   0, 243,   0,   0,   0,  0, 338,  0, 0,  0,0, 221, 0,100,  0, 45,  8, 56
3835,  8064,9,1,1,0, 284, 8199,2,   0,1543,   0, 873,   0,   0,   0, 873,   0,   0, 499,   0,   0,   0,  0, 912,  0, 0,  0,0,   0, 0,132, 37, 79, 87,134
3836, 12356,9,1,2,1,1022, 4748,5,   0, 293,  54, 144,   0,   0,   0,  89,   0,   0,   0,   0,  55,   0,  0, 209, 54, 0,  0,0,   0, 0, 84,  0,  0,  0,  0
3837, 13353,9,4,8,0, 242, 7458,4,   0, 126, 209,   0,   0,   0, 161,   0,   0,   0,   0,  48,   0,   0,  0,  77,  0, 0,  0,0,   0, 0, 49,  0,  0,  0,  0
3838, 19170,9,1,2,0, 291, 6759,2,   0, 501, 815,   0,   0,   0, 670,   0,   0,   0,   0, 145,   0,   0,  0, 436,  0, 0,  0,0,   0, 0, 65,  0, 22, 54, 67
3839,  5971,9,1,1,0, 467, 5947,2,   0, 731,   0,   0,   0, 447,   0,   0,   0,   0,  67,   0,   0,   0,  0, 178,  0, 0,  0,0,   0, 0, 39, 30, 15,  0, 30
3840, 24211,9,3,6,0, 927, 4787,2,   0, 908,   0,   0,   0, 312,   0,   0,   0,   0, 152,   0,   0,   0,  0, 275,  0, 0,  0,0, 104, 0, 65,  0, 30,  6, 41
3841,  8495,9,1,2,0,1086, 4684,3,   0,1833,   0, 240,   0,   0,   0, 240,   0,   0, 702,   0,   0,   0,  0, 886,  0, 0,  0,0,  60, 0,185,  0,162,  0,127
3842, 23165,1,2,3,0, 646, 6338,2,   0, 626, 887,   0,   0,  18, 718,   0,   0,   0,   0, 169,   0,   0,  0, 540,  0, 0,  0,0,  12, 0, 56, 50, 22, 39,110
3843, 16800,9,1,1,0, 344, 7047,1, 852, 841,   0,   0,   0,   0,   0,   0,   0, 852, 310,   0,   0,   0,  0, 438,  0, 0,  0,0,   0, 0, 93,  0, 29, 72, 81
3844, 17370,9,2,4,0,1575, 4798,4,   0, 430, 513,   0,   0,   0, 385,   0,   0,   0,   0,  84,   0,   0,  0, 261, 44, 0,  0,0,  73, 0, 96,  0,  0,  0,  0
3845, 15343,9,4,9,0, 457, 3972,5,   0, 449,   0,   0,   0, 110,   0,   0,   0,   0, 108,   0,   0,   0,  0, 198,  0, 0,  0,0,   0, 0, 33,  0, 11, 27, 30
3846, 12511,9,3,5,0,1157, 3571,2,  25,1308, 356,   0,   0,   0, 208,   0,   0,  25,   0, 148,   0,   0,  0, 944,  0, 0,  0,0,  66, 0,298,  0, 67,  0,232
3847, 24791,9,2,3,0, 377, 7857,2,   0, 628, 739,   0,   0,   0, 567,   0,   0,   0,   0, 172,   0,   0,  0, 513,  0, 0,  0,0,  49, 0, 66, 66, 69,  0, 60
3848, 12114,9,4,8,0, 344, 6825,3,   0, 347, 467,   0,   0,   0, 272,   0,   0,   0,   0, 159,   0,   0,  0, 301, 36, 0,  0,0,   0, 0, 46,  0,  0, 39, 35
3849, 10563,9,4,9,2,1023, 1153,2,   0, 646, 453,   0,   0,   0, 238,   0,   0,   0,   0, 168,   0,   0,  0, 553, 47, 0,  0,0,   0, 0, 93,  0, 26,  0,  0
3850, 10890,9,2,4,0, 513, 7433,2,   0,1284,   0,   0, 486,   0,   0,   0, 451,   0, 407,   0,   0,   0,  0, 749,  0, 0, 35,0,  38, 0, 90, 81,  0, 11,131
3851,  8485,9,3,5,0,1878, 2888,4,   0, 362, 441,   0,   0,   0, 441,   0,   0,   0,  98,   0,   0,   0,  0, 166,  0, 0,  0,0,  34, 0, 64,  0,  0,  0,  0
3852, 18279,9,3,7,3,2686, 2016,2,   0,1410, 444,   0,   0,  43, 339,   0,   0,   0,   0,  79,   0,   0,  0, 730, 26, 0,  0,0, 431, 0,206,247,  0, 17,116
3853, 19833,9,2,3,0, 948, 5976,1,   0, 543, 479,   0,   0,  63, 303,   0,   0,   0,   0, 140,   0,   0,  0, 349, 36, 0,  0,0,  66, 0, 65, 67,  0,  0, 88
3854, 14156,9,2,3,0, 406, 7121,3,   0, 914,   0,   0,1163,   0,   0,   0, 820,   0,   0,   0,   0, 307,  0, 828,  0, 0, 36,0,   0, 0, 86, 36, 34, 82,126
3855, 26430,9,4,8,0, 548, 5814,2,   0, 511, 270,   0,   0,   0, 164,   0,   0,   0,   0, 106,   0,   0,  0, 442,  0, 0,  0,0,  18, 0, 51, 51, 34, 35, 99
3856, 12216,9,3,7,0,1713, 3813,2,   0, 234, 478,   0,   0,   0, 346,   0,   0,   0,   0,  86,   0,   0,  0, 142, 46, 0,  0,0,  60, 0, 32,  0,  0,  0,  0
3857, 16288,9,3,7,0,2612, 1855,2,   0,1083, 284,   0,   0,   0, 128,   0,   0,   0,   0, 120,   0,   0,  0, 720, 36, 0,  0,0, 274, 0, 89, 59, 28,  0,157
3858, 20385,9,3,5,0,1332, 3582,1,   0,1072,   0,   0,   0, 262,   0,   0,   0,   0, 246,   0,   0,   0,  0, 399,  0, 0,  0,0, 125, 0, 40,  0, 38,  0, 48
3859, 13804,9,3,5,4,2483,  980,2,   0,1562,   0,   0,   0, 196,   0,   0,   0,   0, 330,   0,   0,   0,  0, 929,  0, 0,  0,0,   0, 0,107, 76, 91, 12, 80
